airline,name,shortName,callSign,country,airlineUrl,phone
JEN|Jenis Air LLC|Jenis Air|Jenis|Kazakhstan||
JES|Jetsmart Airlines S.A.|JetSMART|Smartbird|Argentina||
JET|European Jet Ltd|European Jet Ltd|Jet|||
JFA|Jetfly Aviation|||||
JFC|Ltv Jet Fleet Corp.|Ltv Jet Fleet Corp.|Jet-Fleet|||
JFS|Juanda Flying School|Juanda Flying School|Jaemco|||
JFY|Foster Yeoman Ltd.|Foster Yeoman Ltd.|Yeoman|||
JGO|JETGO Australia|JETGO Australia|JETGO|Australia|http://www.jetgo.com/|
JHL|Jet Heritage Ltd|Jet Heritage Ltd|Heritage|||
JHN|Johnson Air, Inc.|Johnson Air|Air Johnson|||
JIA|PSA Airlines|PSA Airlines|Blue Streak|United States||
JIB|Jibair|Jibair|Jibairline|||
JID|Air Condal, S.A.|Air Condal|Condal|||
JIM|Sark International Airways|Sark International Airways|Sark|||
JIV|Jivair AB|Jivair|Jiv Air|Sweden||
JJA|Jeju Air||JEJU AIR|South Korea|http://www.jejuair.net/|
JJP|Jetstar Japan Co., Ltd.|Jetstar Japan|Orange Liner|Japan|http://www.jetstar.com/|
JJW|Sternair, Inc. D/B/A Jetway|Sternair D/B/A Jetway|Jetway|||
JKA|LeTourneau University||JACKET|United States||
JKH|JK Jetkontor AG|Jetkontor|Jetkontor|Germany||
JKK|Spanair|Spanair|Spanair|Spain|http://www.spanair.com/|+1-888-545-5757
JKR|Justice Air|Justice Air|Joker|United States||
JKY|Helicopter & Aviation Services Ltd|Helicopter & Aviation Services Ltd|Jockey|||
JLG|Jet Logistics||Logistics|United States|http://www.jetlogistics.us/content/19/contact.html|
JLH|Jetlink Holland|Jetlink Holland||Netherlands||
JLJ|Noble Air Charter|Noble Air Charter|Highborn|United States||
JLL|JetLite|JetLite|Lite Jet|India||
JLN|Eurojet Limited|Eurojet|Jet Line|||
JMA|Jambojet|Jambojet|Chui|||
JME|EJME (Portugal) Aircraft Management Ltda|EJM Europe|Jetman|Portugal||
JMJ|Johnston Airways|Johnston Airways|Johnston|||
JMK|JetMagic Ltd.|JetMagic|Jet Magic|Malta||
JML|Taxi Aereo de Jimulco, S.A. de C.V.|Taxi Aereo de Jimulco de C.V.|Jimulco|||
JMP|Business Wings|||Germany||
JMR|Alexandair Inc.|Alexandair|Alexandair|Canada||
JMS|Arc En Ciel S.A.|Arc en ciel Aviation|Sky Aviation|Senegal||
JMX|Air Jamaica Express Limited|Air Jamaica Express Limited|Jamaica Express|Jamaica||
JNA|Jin Air Co. Ltd|Jin Air|Jin Air|South Korea|http://www.jinair.com/Language/ENG/|
JND|Air East Africa Ltd|Air East Africa Ltd|Eastaf|||
JNH|M & N Equipment, LLC D/B/A M & N Aviation|M & N Equipment|Jonah|||
JNK|Aircompany Jonika LLC|Aircompany Jonika|Jonika|Ukraine||
JNL|JetNetherlands|||Netherlands||
JNR|Jet Norte, S.A. de C.V.|Jet Norte de C.V.|Jet Norte|||
JNY|Journey Aviation LLC|Journey Aviation|Rock Band|United States||
JOB|Aerojobeni, S.A. de C.V.|Aerojobeni de C.V.|Jobeni|||
JON|Joon||JOON|||
JOS|DHL de Guatemala|DHL de Guatemala||Guatemala||
JOY|Joy Air|Joy Air|Joy Air|China||
JPA|Dept. Of The Army, Operational Support Airlift Command|Dept. Of The Army, Operational Support Airlift Command|J-Pat|||
JPB|ACP Jet Charters, Inc.|ACP Jets|Palmbeach Jet||http://www.acpjets.com|
JPL|JetPlus||SEQUOIA|||
JPN|Memrykord Ltd.|Memrykord Ltd.|Jetplan|||
JPQ|Jett Paqueteria, S.A. de C.V.|Jett Paqueteria de C.V.|Jett Paqueteria|||
JPR|Aerosmith Aviation|Aerosmith|Jasper|||
JPT|Prime Jets|Prime Jets|Prime Time|||
JRC|United Caribbean Airlines|Jetair Caribbean|Jetair|Curaao||
JRG|Freight On Wings CC|Freight On Wings CC|Jolly Roger|||
JRH|JR Investments T/A Halsteds Aviation Corporation|Halsteds Aviation Corporation|Bluetip|Zimbabwe||
JRN|Jet Rent, S.A.|Jet Rent|Jet Rent|||
JRP|Simurg, Joint-Stock Company Radio Electronic Plant|Simurg, Joint-Stock Company Radio Electronic Plant|Simurg|||
JRT|JetRight Air Management|JetRight|JetRight|||
JSA|Jetstar Asia Airways|Jetstar Asia||||
JSC|Airstan, Joint-Stock Aviation Company|Airstan|Airstan|||
JSE|Jets Y Servicios Ejecutivos, S.A. de C.V.|Jets Y Servicios Ejecutivos de C.V.|Servijets|||
JSH|Jetstream Air Ltd|Jetstream Air Ltd|Stream-Air|||
JSI|Jet Air Group|Jet Air Group|Sistema|Russian Federation||
JSL|Select Jet||SelectJet|||
JSN|Suncor Energy, Inc.|Suncor Energy|JetSun|Canada||
JST|Jetstar Airways|Jetstar|Jetstar|Australia|http://jetstar.com|
JSU|Jiangsu Jet Co. Ltd.|Jiangsu Jet|Su Jet|China||
JSX|JetSuiteX|JetSuiteX||United States|https://x.jetsuite.com/|
JSY|Jung Sky|Jung Sky|Jung Sky|Croatia||
JTA|Japan Transocean Air Co., Ltd.|Japan Transocean Air Co.|Jai Ocean|Japan||
JTC|Jets Corporativos, S.A. de C.V.|Jets Corporativos de C.V.|Corpojets|||
JTE|Cobham Aviation Services Australia|Cobham|Jetex|Australia||
JTG|Jet Time A/S|Jet Time|Jettime|||
JTI|Imperialjet Europe|||Germany||
JTL|Jet Linx Aviation LLC|Jet Linx Aviation LLC|Jetlinx|United States|http://www.jetlinx.com|866-538-5469
JTM|Jet-Time|Jet-Time|Jet Time|||
JTN|Jet Test International|Jet Test|Jet Test|United States|http://www.jettestandtransport.com|
JTS|Arrendamiento de Aviones Jets, S.A.|Arrendamiento de Aviones Jets|Avionesjets|||
JTU|Zhetysu|Zhetysu|Zhetysu|Kazakhstan||
JTX|Jet Aspen Air Lines, Inc.|Jet Aspen|Jet Aspen|||
JTY|Jatayu Gelang Sejahtera|Jatayu Gelang Sejahtera||Indonesia||
JUA|Aero Juarez, S.A. de C.V.|Aero Juarez de C.V.|Juarez|||
JUB|Jubba Airways|Jubba Airways||Kenya|http://www.jubbaairways.com/|
JUS|Usa Jet Airlines, Inc.|Usa Jet Airlines|Jet USA|United States||
JWA|Jetworld Airways Ltd.|Jetworld|Jetworld|||
JWX|Jetways Airlines Limited|Jetways Airlines|Jetways|Kenya||
JWY|Jetways, Inc.|Jetways|Jetways|||
JYH|9 Air||9 Air|||
JZA|Jazz Aviation LP|Jazz|Jazz|Canada||
JZR|Jazeera Airways||JAZEERA|Kuwait||
KAA|Asia Aero Survey And Consulting Engineers, Inc|Asia Aero Survey And Consulting Engineers, Inc|Aasco|||
KAB|Aviabaltika|Aviabaltika|Aviabaltika|||
KAC|Kuwait Airways Corporation|Kuwait Airways Corporation|Kuwaiti|Kuwait|http://www.kuwaitairways.com/|+1-800-458-9248
KAD|Air Kirovograd, Compania Airlines|Air Kirovograd|Air Kirovograd|||
KAG|Korean Aviation College|Korean Aviation College|Aviation College|South Korea||
KAH|Kent Aviation Limited|Kent Aviation|Dekair|Canada||
KAI|Kaiser Air, Inc.|Kaiser Air|Kaiser|United States||
KAJ|Karthago Airlines|Karthago||||
KAK|Aviatrack|Aviatrack|Aviatrack|||
KAL|Korean Air Lines Co., Ltd.|Korean Air Lines Co.|Koreanair|South Korea|http://www.koreanair.com/|+1-800-438-5000
KAM|Sunkar Air|Sunkar Air|Sunkar|Kazakhstan||
KAN|AK-Kanat|AK-Kanat|Kanat|||
KAO|Kazan Aviation Production Association|Kazan Aviation Production Association|Kazavia|||
KAP|Hyannis Air Service, Inc. D/B/A Cape Air|Cape Air|Cair|United States|http://www.capeair.com/|+1-800-352-0714
KAR|Aircompany Ikar, LLC|Pegas Fly|Ikar|Russian Federation||
KAS|Kingston Air Services|Kingston Air Services|Kingston Air|Canada||
KAT|Kato Air AS|Kato Air AS|Kato-Air|||
KAV|Kavkazskie Aviatrassy, Joint-Stock Company|Kavkazskie Aviatrassy|Katrass|||
KAW|Kaz Air West|Kaz Air West|Kazwest|||
KAY|K5-Aviation GmbH, Gammelsdorf|K5 Aviation|Kayak|Germany||
KAZ|Comlux-KZ JSC|Comlux Kazakhstan|Kazlux|Kazakhstan||
KBA|Kenn Borek Air Ltd.|Kenn Borek Air Ltd.|Borek Air|Canada||
KBD|JetKey|JetKey|Jet Key|France||
KBO|Aero Tours|Aero Tours|Tyne|||
KBV|Kustbevakningen|Kustbevakningen|Swecoast|||
KBZ|Air KBZ|Air KBZ|Jade Air|||
KCA|Trans-Kiev|Trans-Kiev|Trans-Kiev|||
KCE|Irving Oil Transport Ltd.|Irving Oil Transport Ltd.|Kacey|Canada||
KCI|Irving Oil Transport, Ltd|Irving Oil Transport, Ltd|Kacey|||
KCR|Kolob Canyons Air Service||Kolob|United States||
KDA|Kendell Airlines|Kendell|Kendell|||
KDC|K D Air Corporation|KD Air|Kay Dee|Canada||
KDS|Schuman Aviation Company Ltd|Schuman Aviation|Kaleo|United States||
KDZ|Avior Technologies Operations, Inc. D/B/A Flightworks|Avior Technologies Operations D/B/A Flightworks|Kudzu|||
KEA|Korea Express Airlines|Korea Express Air|Korea Express|South Korea||
KEJ|Kaz Air Jet JSC|Kaz Air Jet|Kazairjet|Kazakhstan||
KEL|Kba Kieler Business Air, Kiel|Kba Kieler Business Air, Kiel|Kiel Air|||
KEM|CemAir||CEMAIR||http://www.cemair.co.za|
KEN|Kenmore Air Harbor, Inc|Kenmore Air Harbor, Inc|Kenmore|||
KER|Kermas Aviation|Kermas Aviation|Kermas|Malta||
KET|Cat Kargo Hava Tasima A.s.|Cat Kargo Hava Tasima A.s.|Cat Kargo|||
KEW|Keewatin Air|Keewatin Air|BLIZZARD|||
KEY|Key Airlines|Key|Key Air|||
KFA|Kelowna Flightcraft Air Charter Ltd.|Kelowna Flightcraft|Flightcraft|Canada||
KFB|STAjets|STAjets|Mission Bird|||
KFE|Skyfree|||Malta||
KFS|Kalitta Charters LLC|Kalitta Charters|Kalitta|United States|http://www.kalittacharters.com/|
KGC|Peach Air|Peach Air|Goldcrest|||
KGL|Kogalymavia|Metrojet|Kogalym|Russian Federation|http://www.metrojet.ru|
KGY|Air-Kyrgyzstan|Air-Kyrgyzstan|Kyrair|||
KHA|Kitty Hawk Aircargo, Inc.|Kitty Hawk Aircargo|Air Kittyhawk|United States||
KHC|Kitty Hawk Airways|Kitty Hawk|Cargo Hawk|||
KHE|Kanfey-Ha'emek Aviation|Kanfey-Ha'emek Aviation|Kanfey Haemek|||
KHK|Kharkiv Airlines||Sunray||http://flykharkiv.com/|
KHO|Khors Aircompany|Khors Aircompany|Aircompany Khors|||
KHR|Khazar|Khazar|Khazar|||
KHV|Cambodia Angkor Air||Cambodia Air|||
KHX|Knighthawk Express|Knighthawk Express|Rizz|||
KHY|Khyber Afghan Airlines|Khyber Afghan Airlines|Khyber|||
KII|Kalitta Charters II|Kalitta Charters II|Dragster|United States||
KIN|Kinloss Ftu|Kinloss Ftu|Kinloss|||
KIO|Kraiaero|Kraiaero|Kraiaero|||
KIS|Kish Air|Kish Air|Kishair|Iran||
KIW|Royal New Zealand Air Force|Royal New Zealand Air Force|Kiwi|New Zealand||
KJA|Avistar|Avistar|Avistar|||
KJD|Forces Aeriennes Algeriennes|Algerian Air Force|Algerian Airforce|Algeria||
KJE|Kapajet|Kapajet|Kapajet|Greece||
KKA|Kazavia|Kazavia|Kakair|||
KKB|Air South, Inc.|Air South|Khaki Blue|||
KKK|AtlasGlobal (AtlasJet)|AtlasGlobal|AtlasGlobal|Turkey||
KKL|Kol-Kol Airlines Ltd|Kol-Kol|Kolkol Air|||
KLA|Air Lietuva|Air Lietuva|Kaunas|||
KLB|Air Mali International|Air Mali||||
KLC|Klm Cityhopper BV|Klm Cityhopper BV|City|||
KLD|Air Klaipeda|Air Klaipeda|Air Klaipeda|||
KLG|Karlog Air A/s|Karlog Air|Karlog|||
KLH|Klm Helicopter N.v.|Klm Helicopter N.v.|Klm Heli|||
KLI|Kolyma-Avia|Kolyma-Avia|Kolyma|||
KLJ|JSC KlasJet|JSC KlasJet|Class Line|Lithuania||
KLM|KLM Royal Dutch Airlines|KLM|KLM|Netherlands|https://www.klm.com/|+1-866-434-0320
KLN|Kaliningrad Air Enterprise|Kaliningrad Air Enterprise|Kaliningrad Air|||
KLO|Flight Ops International Inc|Flight Ops International Inc|Klondike|Canada||
KLR|Columbus Air Transport, Inc.|Columbus Air Transport|Kay-Ler|||
KLV|Key-Avia|Key-Avia|Key-Avia|||
KLX|Kalix Air|Kalix Air|Kalix|||
KLY|Air Calypso|Air Calypso|Lypso|||
KMA|Komiaviatrans State Air Enterprise|Komiaviatrans|Komi Avia|Russian Federation|http://www.komiaviatrans.ru/|
KME|Cambodia Airways||GIANT IBIS|Cambodia|https://www.cambodia-airways.com/en|
KMF|Kam Air|Kam Air|KAM AIR||https://www.kamair.com/|
KMI|K-Mile Air Co|K-Mile Air|KAY-MILE Air|Thailand|http://www.k-mile.com/|
KMK|Kamaka Air||Kamaka|||
KMO|Ocean Airlines|Ocean Airlines||||
KMP|Kampuchea Airlines|Kampuchea Airlines|Kampuchea|||
KMR|Western Pacific Airlines, Inc.|Western Pacific Airlines|Komstar|||
KMS|Silk Road Airline|Silk Road Airline|Silk Road|||
KMX|Kiampex, Association|Kiampex|Kiampex|||
KNA|Knight Air Ltd.|||China|http://www.airkunming.com/|
KNE|Flynas|Flynas|NAS EXPRESS|Saudi Arabia|http://www.flynas.com|
KNM|Komsomolsk-On-Amur Air Enterprise|Komsomolsk-On-Amur Air Enterprise|Knaapo|||
KNS|Kenuz Airlines Limited|Kenuz Airlines|Kenuz|||
KNT|Knightair|Flightpath Charter Airways|Kinetic|||
KNX|Knighthawk Air Express Ltd.|Knighthawk Air Express Ltd.|Knight Flight|Canada||
KNZ|Executive Travel Air||Kinzie|||
KOC|Set Air|Setair|Set Air|Turkey||
KOE|Northland Aviation, Inc.|Northland Aviation|Kokee|||
KOK|Horizon Air Service|Horizon Air Service|Koko|||
KON|Bars|Bars|Brala|||
KOR|Air Koryo|Air Koryo|Air Koryo|||
KOS|Kosovaair|Kosovaair|Kosova|||
KOT|North|North|Sever|||
KOW|Baker Aviation, LLC||Rodeo||http://www.baker-aviation.com/|
KOY|Araiavia|Araiavia|Aleks|||
KOZ|Angel Airlines|Angel||||
KPH|Kazan Plant Of Helicopters|Kazan Plant Of Helicopters|Kama|||
KPR|Kapa Air Ltd|Kapa Air|Air Kapa|||
KQA|Kenya Airways Ltd.|Kenya Airways|Kenya|Kenya|http://www.kenya-airways.com/kq2/|+1-866-536-9224
KRA|Krial-Air, Joint-Stock Air Company|Krial-Air|Marat|||
KRC|New Zealand Air Defence Force|New Zealand Air Defence Force|Kiwi Rescue|||
KRE|Aerosucre S.A.|Aerosucre S.A.|Aerosucre|||
KRF|Uk Royal/vip Flights|Uk Royal/vip Flights|Kittyhawk|||
KRG|Krimaviamontag|Krimaviamontag|Aviamontag|||
KRH|UK Royal/VIP Flights (In Civil Chartered Aircraft)|UK Royal/VIP Flights (Civil Charter)|Sparrowhawk|United Kingdom||
KRI|Krilo|Krilo|Krilo|||
KRL|Kiwi Regional Airlines||REGIONAL|||
KRM|Crimea Universal Avia|Crimea Universal Avia|Trans Universal|||
KRO|Kroonk, Air Agency Ltd|Kroonk, Air Agency Ltd|Kroonk|||
KRP|Carpatair|Carpatair||||
KRS|Korsar|Korsar|Korsar Avia|||
KRT|Kokshetau Airline|Kokshetau Airline|Kokta|||
KRU|Karun Airlines|Karun||Iran||
KSA|Sud Aerocargo|Sud Aerocargo|Sudcargo|||
KSD|Kas|Kas|Aerokas|||
KSE|Kisbee Air Ltd|Kisbee Air Ltd|Kisbee|||
KSF|Kent State University||Kent|United States|https://www.kent.edu/cae|
KSJ|K2 Smartjets|||Greece||
KSM|Kosmos|Kosmos|Kosmos|||
KSP|Servicios Aereos Especializados En Transportes Petroleros|Servicios Aereos Especializados En Transportes Petroleros|Saep|||
KSR|Sanrise|Sanrise|Kazak Sunrise|||
KSS|Raytheon Travel Air|Raytheon Travel Air|Kansas|||
KST|PTL Luftfahrunternehmen|PTL Luftfahrunternehmen||Germany||
KSU|Kansas State University|Kansas State University|K-State|||
KSZ|Sunrise Airways|Sunrise||Haiti|https://sunriseairways.net/|
KTA|Kirov State Avia Enterprise|Kirov State Avia Enterprise|Vyatka-Avia|||
KTB|Transaviabaltika|Transaviabaltika||||
KTK|Azur Air|Azur Air|Katekavia|Russian Federation||
KTR|Ht Helikoptertransport AB|Ht Helikoptertransport AB|Copter Trans|||
KTS|Kotlas Joint Civil Aviation Enterprise|Kotlas Joint Civil Aviation Enterprise|Kotlas Avia|||
KUD|Kudu Air Services Limited|Kudu Air Services Limited|Kudu|||
KUG|Kuwaiti Government|Kuwaiti Government|Kuwaiti Gov|Kuwait||
KUK|Kudlik Aviation Inc.|Kudlik Aviation|Kudlik|Canada||
KUS|Kursk State Air Enterprise|Kursk State Air Enterprise|Kursk Avia|||
KVM|Rusaerolizing Airline|Rusaerolizing Airline|Comlease|||
KVS|Kevis|Kevis|Kevis|||
KVY|Cai, Compagnia Aeronautica Italiana Spa|Cai, Compagnia Aeronautica Italiana Spa|Kilo Victor|||
KWN|Kwena Air, South African Charter|Kwena Air, South African Charter|Kwena|||
KWX|Air Key West|Air Key West|KAY DUB|||
KXA|Jiangxi Express Commuter Aviation Co. Ltd.|Jiangxi Express Aviation|Finder Air|China||
KYA|Yana Air Cargo|Yana Air Cargo|Yana Air|||
KYC|Av Atlantic|Av Atlantic|Dolphin|||
KYE|SkyLease Cargo|SkyLease Cargo|Sky Cube|United States||
KYL|Kyrgyz International Airlines|||||
KYN|Kyrnair|Kyrnair|Goldbird|||
KZA|Kazakhstan Airlines|Kazakhstan|Kazair|||
KZH|Zhezkazgan-Air|ZhezAir|Ulutau|Kazakhstan||
KZK|Air Kazakstan|Air Kazakstan|Air Kazakstan|||
KZN|Aviaservice|Aviaservice|Kazanair|Russian Federation||
KZR|Air Astana|Air Astana|ASTANALINE|Kazakhstan|http://www.airastana.com/|
KZU|ULS Airways Cargo||UNIVERSAL CARGO|Turkey||
LAA|Libyan Airlines|Libyan Airlines|LIBYAN|Libya|http://libyanairlines.aero|
LAB|L A B Flying Service|L A B Flying Service|Lab|||
LAC|Lockheed Aircraft Corp.|Lockheed Aircraft Corp.|Lockheed|United States||
LAD|Lebanon Airport Development Corp.|Lebanon Airport Development Corp.|Ladco-Air|||
LAE|Lea Area Carguera de Colombia S.A.|LATAM Cargo Colombia||Colombia||
LAF|Latvian Air Force|Latvian Air Force|Latvian Airforce|||
LAG|Aerovias de Lagos, S.A. de C.V.|Aerovias de Lagos de C.V.|Aerolagos|||
LAH|L A Helicopter, Inc.|L A Helicopter|Star Ship|||
LAI|Lesotho Airways Corporation|Lesotho Airways Corporation|Lesotair|||
LAK|RED WING AEROPLANE COMPANY|Red Wing|REDLAKE|United States|https://redwingaero.com|651-797-0900
LAM|Lam - Linhas Aereas de Mocambique|Lam - Linhas Aereas de Mocambique|Mozambique|||
LAN|LATAM Airlines|LATAM|LAN Chile|Chile|http://www.latam.com/|+1-866-435-9526
LAO|Lao Aviation|Lao|Lao|||
LAP|Transportes Aereos Del Mercosur|Transportes Aereos Del Mercosur|Paraguaya|Paraguay||
LAR|Lawrence Aviation, Inc.|Lawrence Aviation|Lawrence|||
LAS|Compania Aerea Lineas Ecuatoguineanas de Aviacion S.A.|Compania Aerea Lineas Ecuatoguineanas de Aviacion S.A.|Leasa|||
LAT|Lebanese Air Transport|Lebanese Air Transport|Lebanese Air|||
LAU|Lineas Aereas Suramericanas Ltda.|Lineas Aereas Suramericanas Ltda.|Suramericano|Colombia||
LAV|AlbaStar|AlbaStar|Albastar|||
LAX|Alpar Flug- Und Flugplatzgesellschaft AG|Alpar Flug- Und Flugplatzgesellschaft AG|Alpar|||
LAY|Airlat Ltd|Airlat|Aerolat|||
LAZ|Balkan-bulgarian Airlines|Balkan-bulgarian Airlines|Balkan|Bulgaria||
LBA|Liberia Airways, Inc.|Liberia Airways|Liberia Airways|||
LBE|Elbee Airlines|Elbee|Elbee Airline|||
LBH|Laker Airways (Bahamas) Ltd.|Laker Airways|Laker Bahamas|United States||
LBQ|Quest Diagnostics|Quest Diagnostics|Labquest|||
LBT|Nouvel Air Tunisie|Nouvel Air Tunisie|Nouvelair|||
LCA|Leconte Airlines|Leconte|Leconte|||
LCC|The Lancair Co|The Lancair Co|Lancair|||
LCG|Lignes Aeriennes Congolaises|Lignes Aeriennes Congolaises|Congolaise|||
LCH|Lynch Flying Service, Inc.|Lynch Flying Service|Lynch Air|United States||
LCI|Lufthansa Cargo India Pvt. Ltd|Lufthansa Cargo India|Lufthansa India|||
LCL|Mala Services Ltd|Mala Services Ltd|Lencon|||
LCM|Lineas Aereas Comerciales, S.A. de C.V.|Lineas Aereas Comerciales de C.V.|Lineas Comerciales|||
LCN|Lineas Aereas Canarias, SA|Lineas Aereas Canarias, SA|Lcn|||
LCO|LAN Cargo||LAN Cargo|Chile||
LCR|Libyan Arab Company For Air Cargo|Libyan Arab Company For Air Cargo|Libac|||
LCS|Leuchars|Leuchars|Leuchars|||
LCT|Link Conexin Area, S.A. de C.V.|TAR Aerolineas|TAR|Mexico||
LDB|Lada Air Ltd|Lada Air Ltd|Lada|||
LDC|Ladeco Cargo, S.A.|Ladeco Cargo|Ladeco Cargo|||
LDF|Irs-Aero, Joint-Stock Air Company|Irs-Aero, Joint-Stock Air Company|Elbrus|||
LDI|Lauda Air Italy|Lauda Air Italy|Lauda Italy|Italy||
LDM|Laudamotion|Laudamotion|Laudamotion|||
LDO|Elisusa|Elisusa|Elisusa|||
LDR|Aero Lider, S.A. de C.V.|Aero Lider de C.V.|Aerolider|||
LDX|Lauda Motion Executive|Lauda Motion Executive|Lauda Rush|Austria||
LEA|Lead Air Jet Service|Lead Air Jet Service|Leadair|||
LEAD|U.S. Forest Service|U.S. Forest Service|Lead|United States||
LEB|Lebap|Lebap|Lebap|||
LEC|Elicomo|Elicomo|Elicomo|||
LED|Blom Geomatics AS|Blom Geomatics|Sweeper|Norway||
LEG|Army Aviation Heritage Foundation|Army Aviation Heritage Foundation|Legacy|||
LEH|Leeds Central Helicopters|Leeds Central Helicopters|Pathfinder|||
LEI|Leisure International Airways Ltd|Leisure International Airways Ltd|Leisure|||
LEK|Let J.s.c.|Let|Let-Air|||
LEM|Aviatsa (Aviacion Tecnologica S.A.)|Aviatsa|Lampiras|Honduras||
LEN|Lentini Aviation, Inc.|Lentini Aviation|Lentini|||
LEO|Leopair S.A.|Leopair S.A.|Leopair|||
LER|Linea Aerea de Servicio Ejecutivo Regional, C.a.|LASER Airlines|Laser|Venezuela||
LES|Automotores Salta S.A.c.y F.|Automotores Salta S.A.c.y F.|Seal|||
LET|Aerolineas Ejecutivas, S.A.|Aerolineas Ejecutivas|MEXALE|Mexico|http://www.aerolineasejecutivas.com/|
LEU|Lions-Air AG|Lions-Air AG|Lionsair|||
LEX|L'express, Inc.|L'express|Lex|||
LFC|Aero Control Air Ltd.|Aero Control Air|Life Flight Canada|Canada||
LFI|National Airways Corporation|National|Aeromed|||
LFO|DLR Deutsches Zentrum Fuer Luft-Und Raumfahrt E.V.|German Aerospace Center|Lufo|Germany||
LFT|New Zealand Life Flight Trust|New Zealand Life Flight|Life Flight|New Zealand||
LGD|Legend Airlines, Inc.|Legend|Legendary|||
LGL|Luxair - Societe Luxembourgeoise de Navigation Aerienne S.A.|Luxair|Luxair|||
LGN|Alta S.A.|Alta S.A.|Alta Argentina|||
LGT|Longtail Aviation, LLC||Longtail|||
LGU|Servicios Aereos Ejecutivos de la Laguna,s.a. de C.V.|Servicios Aereos Ejecutivos de la Laguna,s.a. de C.V.|Laguna|||
LGW|LGW-Luftfahrtgesellschaft Walter MBH, Dortmund|LGW|Walter|||
LGZ|Intergaz|Intergaz|Arna|||
LHA|Guangdong Longhao Airlines Co., Ltd.|Longhao Airlines|Air Canton|China||
LHB|Liebherr Aviation GmbH|Liebherr Aviation|Family|Germany||
LHN|Express One International, Inc.|Express One International|Longhorn|United States||
LHR|Al Ahram Aviation|Al Ahram Aviation|Al Ahram|||
LHS|Luhansk, Aviation Enterprise|Luhansk, Aviation Enterprise|Enterprise Luhansk|||
LHT|Lufthansa Technik Ag, Hamburg|Lufthansa Technik Ag, Hamburg|Lufthansa Technik|||
LIA|Leeward Islands Air Transport (1974) Ltd.|LIAT|Liat|Antigua and Barbuda||
LIB|Air Liberte|Air Liberte|Air Liberte|||
LIC|Lineas Aereas Del Caribe|Lineas Aereas Del Caribe|Lac|||
LID|Alidaunia Srl|Alidaunia Srl|Alida|Italy||
LIF|Rocky Mountain Holdings, L.l.c.|Rocky Mountain Holdings, L.l.c.|Lifecare|||
LII|Flight Research Institute, M. Gromov|Flight Research Institute, M. Gromov|Gromov Air|||
LIK|Ghiatsint-Rahat|Ghiatsint-Rahat|Giasin|||
LIM|Bvba Lucorp|Bvba Lucorp|Limo|||
LIN|Linair - Hungarian Regional Airlines|Linair - Hungarian Regional Airlines|Linair|||
LIP|State Lipetsk Air Enterprise|State Lipetsk Air Enterprise|Lipetsk-Avia|||
LIR|Lionair S.A.|Lionair S.A.|Lair|||
LIS|Airlis, S.A.|Airlis|Lisair|||
LIT|Air Littoral|Air Littoral|Air Littoral|||
LIV|Air Livonia Ltd|Air Livonia Ltd|Livonia|||
LIX|Air Littoral Express|Air Littoral Express|Lit Express|||
LIZ|MyTravel Lite|MyTravel Lite||United Kingdom||
LJR|Hellas Wings Ltd|Hellas Wings Ltd|Hellas Wings|||
LJY|L J Associates|L. J. Aviation|Eljay|||
LKE|Lucky Air||LUCKY AIR|China|http://www.luckyair.net|
LKF|Aviation Advisor Inc.|Aviation Advisor Inc.|Lake Front|United States|http://www.aviationadvisor.com|+1-847- 395-3767
LKL|Lakeland Aviation|Lakeland Aviation|Lakeland|||
LKN|PT. Nam Air|NAM Air|Namair|Indonesia||
LKP|American Aviation Inc.|American Aviation|Lake Powell|||
LKR|Laker Airways, Inc.|Laker|Laker|||
LKY|Air Solutions, LLC|Air Solution|Lucky|||
LLA|Servicio Leo Lopez S.A. de C.V.|Servicio Leo Lopez S.A. de C.V.|Leo Lopez|||
LLB|Lloyd Aereo Boliviano, S.A.|Lloyd Aereo Boliviano|Lloydaereo|||+1-800-337-0918
LLC|Small Planet Airlines JSC|Small Planet|Small Planet|Lithuania||
LLK|Life Line Aviation|Life Line Aviation|Air Life|Greece||
LLL|Lao Skyway|Lao Skyway|Lavie|Lao People's Democratic Republic||
LLM|Yamal Airlines, Joint-Stock Company|Yamal Airlines|Yamal|Russian Federation|http://www.yamal.aero/|
LLO|Operation Enduring Freedom, Afghanistan|Operation Enduring Freedom, Afghanistan|Apollo|||
LLP|Small Planet Airlines Sp. z o. o.|Small Planet|Skypol|Poland||
LLR|Alliance Air|Alliance Air|Allied|India|http://www.airindia.in/alliance-air.htm|
LLT|Classic Jet|Classic Jet|Classic Jet|Lithuania||
LLX|Small Planet Airlines|Small Planet|GermanJet|Germany||
LMA|Aerolima, S.A. de C.V.|Aerolima de C.V.|Aerolima|||
LMC|Linea Aerea Mexicana de Carga, S.A. de C.V.|Linea Aerea Mexicana de Carga de C.V.|Linea Decarga|||
LMG|South African Air Force|South African Air Force|South African|||
LMI|LaMia|LaMia||||
LMJ|Masterjet, Aviacao Executiva S.A.|Masterjet|Masterjet|Portugal||
LMK|Grantex Aviation|Grantex Aviation|Landmark|||
LMR|Lemanair S.A.|Lemanair|Lemanair|||
LMS|Lomas Helicopters Ltd|Lomas Helicopters|Lomas|||
LMT|Almaty Aviation|Almaty Aviation||||
